IIS3DWB 3-axis accelerometer by STM32
Configuration: FIFO continuous mode WTM = 20 Sensibility = +-4g
Timestamp resolution = 12.5us/LSB accel resolution 0.122mg/LSB

Timestamp(us) accelX(mg) accelY(mg) accelZ(mg)
99895.69812 462 -736 7770 
100050.5683 447 -777 7789 
100205.4385 635 -632 7941 
100360.3087 455 -710 7899 
100515.1789 462 -695 7815 
100670.0491 398 -784 7895 
100824.9193 538 -618 7735 
100979.7895 511 -721 7910 
101134.6597 504 -754 7724 
101289.5299 688 -573 7838 
101444.4001 485 -606 7868 
101599.2703 473 -795 8088 
101754.1405 635 -632 7941 
101909.0107 414 -743 7983 
102063.8809 515 -625 7812 
102218.7511 609 -684 7766 
102373.6213 466 -884 7907 
102528.4914 458 -692 8024 
102683.3616 466 -743 7812 
102838.2318 425 -769 7934 
102993.102 458 -621 8013 
103147.9722 538 -736 7869 
103302.8424 538 -858 7918 
103457.7126 380 -836 8062 
103612.5828 444 -662 7982 
103767.453 417 -662 7780 
103922.3232 312 -603 8024 
104077.1934 508 -758 7819 
104232.0636 300 -595 7849 
104386.9338 410 -814 7910 
104541.804 470 -529 7693 
104696.6742 402 -858 7940 
104851.5444 402 -744 7921 
105006.4146 496 -721 7974 
105161.2848 639 -714 7678 
105316.155 368 -751 7822 
105471.0252 553 -596 7922 
105625.8954 368 -806 7842 
105780.7656 545 -703 7925 
105935.6358 368 -766 7868 
106090.506 481 -643 7860 
106245.3761 523 -647 8096 
106400.2463 402 -744 7921 
106555.1165 334 -684 7784 
106709.9867 428 -758 7925 
106864.8569 545 -581 7705 
107019.7271 481 -751 8008 
107174.5973 466 -769 7906 
107329.4675 519 -728 7868 
107484.3377 598 -710 7853 
107639.2079 447 -717 8016 
107794.0781 504 -725 8005 
107948.9483 421 -669 7800 
108103.8185 481 -817 7823 
108258.6887 421 -677 7968 
108413.5589 545 -728 7831 
108568.4291 432 -751 7816 
108723.2993 451 -773 7937 
108878.1695 508 -740 7884 
109033.0397 387 -769 7850 
109187.9099 586 -654 7861 
109342.7801 541 -662 7880 
109497.6503 515 -673 7790 
109652.5205 544 -777 7816 
109807.3906 439 -784 7918 
109962.2608 420 -695 7793 
110117.131 650 -718 7926 
110272.0012 254 -873 7900 
110426.8714 627 -495 7683 
110581.7416 367 -888 7884 
110736.6118 556 -703 7865 
110891.482 318 -788 8032 
111046.3522 515 -673 7790 
111201.2224 474 -695 7858 
111356.0926 583 -673 7930 
111510.9628 508 -792 7763 
111665.833 451 -814 7911 
111820.7032 605 -703 7884 
111975.5734 417 -784 7869 
112130.4436 564 -755 7903 
112285.3138 560 -684 7884 
112440.184 466 -758 8009 
112595.0542 515 -673 7790 
112749.9244 533 -706 7945 
112904.7946 424 -692 7763 
113059.6648 412 -725 7998 
113214.535 616 -521 7709 
113369.4052 416 -799 7918 
113524.2753 375 -669 7816 
113679.1455 408 -710 7831 
113834.0157 469 -728 7854 
113988.8859 499 -651 7934 
114143.7561 515 -673 7790 
114298.6263 319 -658 7884 
114453.4965 296 -799 7975 
114608.3667 602 -551 7679 
114763.2369 530 -810 7842 
114918.1071 466 -621 7876 
115072.9773 485 -784 7858 
115227.8475 477 -647 7694 
115382.7177 444 -747 7820 
115537.5879 628 -577 7713 
115692.4581 323 -806 7800 
115847.3283 495 -658 7770 
116002.1985 394 -732 7930 
116157.0687 506 -710 7804 
116311.9389 360 -995 8078 
116466.8091 616 -729 7907 
116621.6793 435 -640 7687 
116776.5495 514 -617 7820 
116931.4197 361 -799 8145 
117086.2898 538 -802 7887 
117241.16 666 -754 7891 
117396.0302 342 -821 7842 
117550.9004 440 -643 7769 
117705.7706 530 -751 7879 
117860.6408 440 -755 7769 
118015.511 428 -762 8008 
118170.3812 470 -736 7781 
118325.2514 556 -673 7902 
118480.1216 470 -658 7842 
118634.9918 327 -725 8006 
118789.862 511 -725 7801 
118944.7322 357 -677 7877 
119099.6024 485 -677 7987 
119254.4726 425 -777 7846 
119409.3428 477 -644 7641 
119564.213 342 -755 7998 
119719.0832 556 -692 7854 
119873.9534 556 -673 7902 
120028.8236 537 -788 7952 
120183.6938 386 -877 8055 
120338.564 638 -599 7812 
120493.4342 514 -762 7972 
120648.3043 469 -728 8048 
120803.1745 665 -510 7759 
120958.0447 495 -721 7762 
121112.9149 522 -766 7846 
121267.7851 469 -695 7854 
121422.6553 548 -762 7956 
121577.5255 519 -658 7786 
121732.3957 364 -917 7968 
121887.2659 590 -610 8059 
122042.1361 312 -699 7877 
122197.0063 621 -788 7808 
122351.8765 361 -610 7918 
122506.7467 556 -773 7926 
122661.6169 564 -758 7766 
122816.4871 462 -677 7850 
122971.3573 548 -762 7956 
123126.2275 613 -577 7652 
123281.0977 425 -836 7888 
123435.9679 545 -643 7850 
123590.8381 436 -710 7968 
123745.7083 628 -673 7755 
123900.5785 470 -706 7903 
124055.4487 492 -695 7820 
124210.3189 515 -792 7896 
124365.189 481 -725 7926 
124520.0592 548 -762 7956 
124674.9294 450 -666 7831 
124829.7996 458 -644 7850 
124984.6698 412 -866 7812 
125139.54 540 -677 7793 
125294.4102 435 -777 7797 
125449.2804 398 -773 8051 
125604.1506 661 -706 7790 
125759.0208 424 -562 7915 
125913.891 537 -669 7884 
126068.7612 469 -669 7941 
126223.6314 530 -706 7782 
126378.5016 470 -736 7899 
126533.3718 583 -588 7804 
126688.242 285 -803 7979 
126843.1122 590 -573 7843 
126997.9824 379 -806 7892 
127152.8526 485 -725 7725 
127307.7228 462 -736 7770 
127462.593 447 -777 7789 
127617.4632 635 -632 7941 
127772.3334 455 -710 7899 
127927.2035 462 -695 7815 
128082.0737 398 -784 7895 
128236.9439 538 -618 7735 
128391.8141 511 -721 7910 
